Mature_Name	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15
miR-22-3p	1342	2163	3499	1585	3746	1078	2954	1099	591	1923	1780	901	1170	1007	15160
miR-22-5p	7	4	3	3	18	4	3	6	NA	8	4	NA	2	2	5
miR-221-3p	99	322	7	81	506	77	5	104	41	174	121	88	65	80	35
miR-221-5p	5	14	2	14	33	8	3	3	3	6	12	5	2	5	8
miR-222-3p	42	165	5	74	212	38	6	42	32	131	121	80	48	73	15
miR-223-3p	8	27	7	8	47	7	6	9	5	21	3	4	6	9	29
miR-224-3p	1	2	NA	1	4	NA	1	NA	NA	1	NA	NA	NA	NA	NA
miR-224-5p	22	66	6	14	98	9	3	32	NA	42	NA	NA	12	26	10
miR-2276-5p	2	NA	NA	NA	NA	NA	NA	NA	1	NA	3	1	NA	NA	NA
miR-2277-3p	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-2392	1	2	NA	1	NA	NA	NA	NA	1	1	2	NA	4	NA	1
miR-23a-3p	260	583	148	305	989	226	145	320	105	464	289	146	220	240	621
miR-23a-5p	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-23b-3p	261	584	148	305	992	226	145	322	105	465	290	148	220	240	623
miR-23c	1	1	NA	NA	2	NA	NA	2	NA	2	2	2	NA	NA	2
miR-24-2-5p	2	8	NA	3	18	2	3	3	NA	1	1	NA	2	5	4
miR-24-3p	80	220	28	58	406	47	34	167	18	132	46	29	50	75	77
miR-25-3p	41	94	48	61	150	37	31	66	16	70	69	39	37	41	172
miR-26a-5p	885	2193	567	1094	3862	742	595	1223	619	1582	1686	921	707	758	2522
miR-26b-5p	885	2201	570	1094	3854	741	593	1222	619	1579	1687	919	707	761	2523
miR-27a-3p	2101	3854	2175	2042	5827	1537	1968	2245	852	2372	2330	1232	1262	1259	6584
miR-27b-3p	2101	3854	2174	2042	5827	1538	1968	2245	852	2372	2330	1231	1261	1259	6584
miR-27b-5p	1	1	4	2	3	NA	2	NA	1	1	NA	NA	NA	1	9
miR-28-3p	76	131	129	110	216	47	147	61	33	127	104	49	62	48	674
miR-28-5p	66	89	64	90	161	61	53	35	63	78	219	109	59	34	236
miR-299-3p	1	3	NA	2	2	NA	NA	2	NA	1	1	NA	1	1	NA
miR-29a-3p	113	163	62	168	351	111	65	85	136	158	349	193	126	98	279
miR-29b-3p	21	32	4	23	51	7	6	13	21	18	28	17	14	10	19
miR-29c-3p	131	195	66	192	398	117	70	98	157	176	376	210	140	107	297
