Mature_Name	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15
miR-301a-3p	89	77	15	109	74	71	16	74	188	102	135	142	94	84	7
miR-301b	16	21	13	10	17	14	9	11	7	17	10	15	7	11	7
miR-302a-3p	11	15	4	15	23	5	7	11	12	12	4	18	8	19	1
miR-302b-3p	27	20	11	18	22	14	19	20	22	16	8	27	19	21	8
miR-302c-3p	5	9	2	9	5	4	5	8	4	11	5	6	13	7	2
miR-302d-3p	57	68	56	77	62	64	55	47	49	72	36	45	40	46	39
miR-302e	14	13	11	11	12	9	15	22	10	15	5	11	12	8	4
miR-302f	15	16	16	13	11	8	20	17	10	18	11	11	13	13	9
miR-30a-5p	4784	5845	1264	2743	5462	2372	1174	5035	1827	4734	1497	1249	1324	2202	332
miR-30b-5p	1842	2826	604	1273	3567	333	767	2461	856	2055	725	611	983	1366	336
miR-30c-5p	593	417	367	491	369	146	388	466	743	559	468	260	593	756	309
miR-30d-5p	5826	7634	1488	3509	7594	2465	1299	7220	1829	5885	1351	1170	1960	3847	557
miR-30e-5p	688	612	517	567	545	510	509	570	616	712	503	378	416	413	199
miR-31-5p	30	13	8	32	16	21	9	9	62	28	33	29	20	21	7
miR-3123	5	8	4	7	5	5	5	3	2	8	2	5	7	5	1
miR-3127-5p	5	8	1	3	7	5	8	13	5	8	4	4	6	7	2
miR-3131	6	8	7	6	5	8	8	14	3	2	4	6	3	10	2
miR-3136-5p	7	3	5	8	8	6	10	7	4	9	4	5	7	7	5
miR-3141	5	3	3	1	6	4	5	6	5	4	6	4	8	11	7
miR-3144-5p	6	1	6	1	3	1	3	7	4	6	3	4	1	5	2
miR-3147	1	14	6	18	19	13	9	14	5	9	2	3	15	20	5
miR-3151	12	10	1	16	6	12	6	2	38	18	14	16	22	10	3
miR-3154	3	3	10	1	3	4	6	7	3	1	4	4	5	2	8
miR-3161	4	2	7	5	6	6	5	5	3	5	7	5	9	7	4
miR-3164	6	11	6	6	10	3	3	11	7	5	2	5	5	5	1
miR-3168	10	6	6	6	14	3	8	9	7	10	6	5	17	6	4
miR-3175	7	8	6	5	8	8	10	3	4	8	4	3	14	5	4
miR-3178	4	9	3	3	3	5	3	4	3	1	2	2	7	4	4
miR-3180	8	14	4	6	13	8	7	8	4	11	3	5	8	9	1
miR-3180-3p	9	5	7	2	7	6	2	9	8	10	5	4	8	6	2
miR-3180-5p	10	8	1	4	4	8	5	4	2	12	4	3	7	4	1
miR-3182	14	6	7	5	9	2	8	5	7	7	3	7	12	11	5
miR-3184-5p	7	13	4	12	11	9	10	11	5	14	7	8	11	13	4
miR-3185	7	6	7	8	9	3	8	5	5	4	3	2	10	8	1
miR-3187-3p	11	8	7	10	10	5	3	6	3	11	5	5	7	11	3
miR-3190-5p	8	6	2	6	4	9	10	9	7	7	2	2	18	10	6
miR-3192	2	2	6	2	3	4	5	7	3	4	4	6	3	5	1
miR-3195	14	12	13	8	3	12	10	7	12	9	11	14	26	8	8
miR-3196	6	9	3	12	11	11	5	12	3	7	2	3	5	13	2
miR-32-5p	294	343	155	217	336	143	145	300	178	321	143	111	167	230	79
miR-3200-3p	27	7	2	32	6	28	7	4	73	20	47	66	33	23	2
miR-320a	33	31	22	41	18	34	25	18	45	33	30	49	25	21	7
miR-320b	8	14	8	8	14	6	5	8	9	9	4	9	8	6	5
miR-320c	2	6	4	5	5	9	5	8	7	5	4	3	5	7	1
miR-320d	10	12	7	11	11	12	8	14	13	20	13	13	11	16	9
miR-320e	74	79	18	107	46	113	26	60	148	94	137	129	83	49	13
miR-323a-3p	275	136	17	398	123	321	9	105	928	337	773	736	515	333	6
miR-323a-5p	6	6	8	11	1	8	10	4	6	7	12	2	6	6	26
miR-323b-3p	5	5	5	2	6	3	6	7	4	7	6	3	12	8	1
miR-323b-5p	8	5	7	9	7	5	15	4	6	6	4	6	3	5	2
miR-324-3p	9	4	3	6	6	13	3	4	14	8	11	7	6	2	1
miR-324-5p	825	554	118	731	589	224	125	562	1214	802	835	622	270	332	28
